label,case,toy,primary_metric,direction,baseline_variant,nabm_variant,baseline_n,baseline_mean,baseline_std,baseline_ci95,nabm_n,nabm_mean,nabm_std,nabm_ci95,effect_n,effect_mean,effect_std,effect_ci95,positive_effect_favors,ceiling_metric,ceiling_value,ceiling_tolerance,baseline_final_ceiling_rate,nabm_final_ceiling_rate,baseline_ever_ceiling_rate,nabm_ever_ceiling_rate,baseline_time_to_ceiling_mean,nabm_time_to_ceiling_mean,time_to_ceiling_effect_mean,baseline_ever_ceiling_final_miss_rate,nabm_ever_ceiling_final_miss_rate,baseline_late_flip_count_after_first_ceiling_mean,nabm_late_flip_count_after_first_ceiling_mean,baseline_late_flip_rate_after_first_ceiling_mean,nabm_late_flip_rate_after_first_ceiling_mean,baseline_terminal_window_ceiling_rate_mean,nabm_terminal_window_ceiling_rate_mean,baseline_terminal_window_mean_ceiling_metric_mean,nabm_terminal_window_mean_ceiling_metric_mean,ceiling_outcome,nabm_status,neural_role,social_channels,reference_policies
toy5_threshold_target_lattice_wavefront_probe,frontier_lattice_wavefront_probe,toy5,domain_cascade_size,maximize,baseline,max_exposure_anchor,3,1.0,0.0,0.0,3,100.0,0.0,0.0,3,99.0,0.0,0.0,nabm,action_rate,0.95,0.0,0.0,1.0,0.0,1.0,,23.0,,0.0,0.0,,3.0,,0.0011111111111111111,0.0,1.0,0.01,1.0,nabm_more_final_ceiling_hits,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
